Populations légales des communes en vigueur au 1er janvier 2015,,,,,,,,,
Mise à jour : décembre 2014,,,,,,,,,
en habitant,,,,,,,,,
"Champ : Département du Haut-Rhin, limites territoriales en vigueur au 1er janvier 2014",,,,,,,,,
Date de référence statistique : 1er janvier 2012,,,,,,,,,
Source :,"Insee, Recensement de la population 2012",,,,,,,,
,,,,,,,,,
Code région,Nom de la région,Code département,Code arrondissement,Code canton,Code commune,Nom de la commune,Population municipale,Population comptée à part,Population totale
42,Alsace,68,1,1,303,Schwoben,246,11,257
42,Alsace,68,6,15,304,Sentheim,1669,19,1688
42,Alsace,68,1,10,305,Seppois-le-Bas,1235,14,1249
42,Alsace,68,1,10,306,Seppois-le-Haut,484,10,494
42,Alsace,68,6,15,307,Sewen,529,4,533
42,Alsace,68,6,15,308,Sickert,329,9,338
42,Alsace,68,4,13,309,Sierentz,3244,35,3279
42,Alsace,68,5,12,310,Sigolsheim,1183,34,1217
42,Alsace,68,2,18,311,Sondernach,653,14,667
42,Alsace,68,1,7,312,Sondersdorf,347,11,358
42,Alsace,68,6,15,313,Soppe-le-Bas,740,22,762
42,Alsace,68,6,15,314,Soppe-le-Haut,564,17,581
42,Alsace,68,3,24,315,Soultz-Haut-Rhin,7210,135,7345
42,Alsace,68,2,18,316,Soultzbach-les-Bains,714,11,725
42,Alsace,68,2,18,317,Soultzeren,1145,26,1171
42,Alsace,68,3,21,318,Soultzmatt,2346,52,2398
42,Alsace,68,1,1,319,Spechbach-le-Bas,705,20,725
42,Alsace,68,1,1,320,Spechbach-le-Haut,647,17,664
42,Alsace,68,6,3,321,Staffelfelden,3727,60,3787
42,Alsace,68,6,3,322,Steinbach,1356,35,1391
42,Alsace,68,4,13,323,Steinbrunn-le-Bas,649,19,668
42,Alsace,68,4,13,324,Steinbrunn-le-Haut,584,14,598
42,Alsace,68,1,10,325,Steinsoultz,781,12,793
42,Alsace,68,1,5,326,Sternenberg,156,3,159
42,Alsace,68,4,13,327,Stetten,338,7,345
42,Alsace,68,6,22,328,Storckensohn,228,10,238
42,Alsace,68,2,18,329,Stosswihr,1364,33,1397
42,Alsace,68,1,10,330,Strueth,338,12,350
42,Alsace,68,2,2,331,Sundhoffen,1928,55,1983
42,Alsace,68,1,1,332,Tagolsheim,741,18,759
42,Alsace,68,1,1,333,Tagsdorf,307,15,322
42,Alsace,68,6,25,334,Thann,7931,171,8102
42,Alsace,68,5,20,335,Thannenkirch,443,18,461
42,Alsace,68,1,5,336,Traubach-le-Bas,501,12,513
42,Alsace,68,1,5,337,Traubach-le-Haut,564,14,578
42,Alsace,68,2,26,338,Turckheim,3723,87,3810
42,Alsace,68,1,10,340,Ueberstrass,368,12,380
42,Alsace,68,4,13,341,Uffheim,865,26,891
42,Alsace,68,6,3,342,Uffholtz,1580,28,1608
42,Alsace,68,3,24,343,Ungersheim,2062,32,2094
42,Alsace,68,6,22,344,Urbès,450,9,459
42,Alsace,68,2,2,345,Urschenheim,705,18,723
42,Alsace,68,1,5,192,Valdieu-Lutran,402,9,411
42,Alsace,68,1,7,347,Vieux-Ferrette,657,13,670
42,Alsace,68,6,25,348,Vieux-Thann,2895,69,2964
42,Alsace,68,4,11,349,Village-Neuf,3853,68,3921
42,Alsace,68,2,26,350,Voegtlinshoffen,531,25,556
42,Alsace,68,2,19,351,Vogelgrun,656,9,665
42,Alsace,68,2,19,352,Volgelsheim,2237,29,2266
42,Alsace,68,4,13,353,Wahlbach,492,8,500
42,Alsace,68,2,26,354,Walbach,868,44,912
42,Alsace,68,1,10,355,Waldighofen,1518,19,1537
42,Alsace,68,1,1,356,Walheim,951,19,970
42,Alsace,68,4,13,357,Waltenheim,565,19,584
42,Alsace,68,2,18,358,Wasserbourg,454,13,467
42,Alsace,68,6,3,359,Wattwiller,1731,40,1771
42,Alsace,68,2,19,360,Weckolsheim,612,14,626
42,Alsace,68,6,15,361,Wegscheid,336,8,344
42,Alsace,68,4,11,362,Wentzwiller,696,12,708
42,Alsace,68,1,7,363,Werentzhouse,578,15,593
42,Alsace,68,3,21,364,Westhalten,981,11,992
42,Alsace,68,2,26,365,Wettolsheim,1682,47,1729
42,Alsace,68,2,2,366,Wickerschwihr,772,19,791
42,Alsace,68,2,2,367,Widensolen,1208,20,1228
42,Alsace,68,2,18,368,Wihr-au-Val,1271,35,1306
42,Alsace,68,6,22,370,Wildenstein,192,2,194
42,Alsace,68,1,1,371,Willer,330,6,336
42,Alsace,68,6,25,372,Willer-sur-Thur,1873,32,1905
42,Alsace,68,1,7,373,Winkel,331,13,344
42,Alsace,68,2,26,374,Wintzenheim,7592,430,8022
42,Alsace,68,6,3,375,Wittelsheim,10573,138,10711
42,Alsace,68,4,27,376,Wittenheim,14512,232,14744
42,Alsace,68,1,1,377,Wittersdorf,836,22,858
42,Alsace,68,1,5,378,Wolfersdorf,351,5,356
42,Alsace,68,2,19,379,Wolfgantzen,1037,16,1053
42,Alsace,68,1,7,380,Wolschwiller,467,12,479
42,Alsace,68,3,24,381,Wuenheim,783,19,802
42,Alsace,68,4,13,382,Zaessingue,344,4,348
42,Alsace,68,5,12,383,Zellenberg,357,15,372
42,Alsace,68,4,17,384,Zillisheim,2631,72,2703
42,Alsace,68,2,26,385,Zimmerbach,877,41,918
42,Alsace,68,4,9,386,Zimmersheim,1114,31,1145
