"","Code.région","Nom.de.la.région","Code.département","Code.arrondissement","Code.canton","Code.commune","Nom.de.la.commune","Population.municipale","Population.comptée.à.part","Population.totale"
"223",42,"Alsace",67,2,15,67238,"Kindwiller",601,12,613
"224",42,"Alsace",67,5,24,67239,"Kintzheim",1580,32,1612
"225",42,"Alsace",67,3,33,67240,"Kirchheim",668,10,678
"226",42,"Alsace",67,4,6,67241,"Kirrberg",181,0,181
"227",42,"Alsace",67,4,4,67242,"Kirrwiller",522,17,539
"228",42,"Alsace",67,4,13,67244,"Kleingoeft",143,0,143
"229",42,"Alsace",67,4,13,67245,"Knoersheim",213,6,219
"230",42,"Alsace",67,5,2,67246,"Kogenheim",1117,10,1127
"231",42,"Alsace",67,6,8,67247,"Kolbsheim",819,6,825
"232",42,"Alsace",67,5,16,67248,"Krautergersheim",1723,29,1752
"233",42,"Alsace",67,6,5,67249,"Krautwiller",188,2,190
"234",42,"Alsace",67,6,5,67250,"Kriegsheim",705,20,725
"235",42,"Alsace",67,6,5,67252,"Kurtzenhouse",1036,7,1043
"236",42,"Alsace",67,6,31,67253,"Kuttolsheim",669,14,683
"237",42,"Alsace",67,7,26,67254,"Kutzenhausen",899,16,915
"238",42,"Alsace",67,5,32,67255,"Lalaye",430,5,435
"239",42,"Alsace",67,6,43,67256,"Lampertheim",2914,72,2986
"240",42,"Alsace",67,7,35,67257,"Lampertsloch",722,15,737
"241",42,"Alsace",67,4,13,67258,"Landersheim",199,2,201
"242",42,"Alsace",67,7,35,67259,"Langensoultzbach",919,20,939
"243",42,"Alsace",67,7,35,67260,"Laubach",312,5,317
"244",42,"Alsace",67,7,11,67261,"Lauterbourg",2234,42,2276
"245",42,"Alsace",67,7,34,67263,"Lembach",1620,34,1654
"246",42,"Alsace",67,2,3,67264,"Leutenheim",855,10,865
"247",42,"Alsace",67,4,17,67265,"Lichtenberg",559,7,566
"248",42,"Alsace",67,5,7,67266,"Limersheim",672,7,679
"249",42,"Alsace",67,6,42,67267,"Lingolsheim",16941,176,17117
"250",42,"Alsace",67,6,8,67268,"Lipsheim",2489,40,2529
"251",42,"Alsace",67,4,21,67269,"Littenheim",297,2,299
"252",42,"Alsace",67,6,10,67270,"Lixhausen",352,2,354
"253",42,"Alsace",67,7,26,67271,"Lobsann",627,21,648
"254",42,"Alsace",67,4,13,67272,"Lochwiller",443,5,448
"255",42,"Alsace",67,4,17,67273,"Lohr",494,13,507
"256",42,"Alsace",67,4,20,67274,"Lorentzen",210,1,211
"257",42,"Alsace",67,4,21,67275,"Lupstein",814,8,822
"258",42,"Alsace",67,3,14,67276,"Lutzelhouse",1849,32,1881
"259",42,"Alsace",67,5,12,67277,"Mackenheim",740,14,754
"260",42,"Alsace",67,4,6,67278,"Mackwiller",592,10,602
"261",42,"Alsace",67,4,21,67279,"Maennolsheim",242,2,244
"262",42,"Alsace",67,5,32,67280,"Maisonsgoutte",808,11,819
"263",42,"Alsace",67,5,12,67281,"Marckolsheim",4171,63,4234
"264",42,"Alsace",67,3,33,67282,"Marlenheim",3906,54,3960
"265",42,"Alsace",67,4,13,67283,"Marmoutier",2737,70,2807
"266",42,"Alsace",67,5,2,67285,"Matzenheim",1416,136,1552
"267",42,"Alsace",67,5,16,67286,"Meistratzheim",1438,13,1451
"268",42,"Alsace",67,6,10,67287,"Melsheim",575,10,585
"269",42,"Alsace",67,7,26,67288,"Memmelshoffen",326,6,332
"270",42,"Alsace",67,4,4,67289,"Menchhoffen",579,11,590
"271",42,"Alsace",67,7,26,67290,"Merkwiller-Pechelbronn",970,17,987
"272",42,"Alsace",67,2,15,67291,"Mertzwiller",3413,39,3452
"273",42,"Alsace",67,2,15,67292,"Mietesheim",654,8,662
"274",42,"Alsace",67,6,10,67293,"Minversheim",680,8,688
"275",42,"Alsace",67,5,1,67295,"Mittelbergheim",660,16,676
"276",42,"Alsace",67,6,43,67296,"Mittelhausbergen",1768,31,1799
"277",42,"Alsace",67,6,10,67297,"Mittelhausen",556,7,563
"278",42,"Alsace",67,6,5,67298,"Mittelschaeffolsheim",532,8,540
"279",42,"Alsace",67,3,18,67299,"Mollkirch",969,19,988
"280",42,"Alsace",67,3,14,67300,"Molsheim",9227,191,9418
"281",42,"Alsace",67,6,5,67301,"Mommenheim",1765,29,1794
"282",42,"Alsace",67,4,21,67302,"Monswiller",2118,31,2149
"283",42,"Alsace",67,7,35,67303,"Morsbronn-les-Bains",742,13,755
"284",42,"Alsace",67,2,9,67304,"Morschwiller",584,12,596
"285",42,"Alsace",67,7,25,67305,"Mothern",2020,20,2040
"286",42,"Alsace",67,3,14,67306,"Muhlbach-sur-Bruche",647,73,720
"287",42,"Alsace",67,4,4,67307,"Mulhausen",454,8,462
"288",42,"Alsace",67,7,25,67308,"Munchhausen",716,12,728
"289",42,"Alsace",67,6,43,67309,"Mundolsheim",4878,99,4977
"290",42,"Alsace",67,5,12,67310,"Mussig",1156,37,1193
"291",42,"Alsace",67,5,12,67311,"Muttersholtz",1961,38,1999
"292",42,"Alsace",67,6,10,67312,"Mutzenhouse",399,2,401
"293",42,"Alsace",67,3,14,67313,"Mutzig",5820,70,5890
"294",42,"Alsace",67,3,23,67314,"Natzwiller",586,12,598
"295",42,"Alsace",67,7,11,67315,"Neewiller-près-Lauterbourg",634,14,648
"296",42,"Alsace",67,5,32,67317,"Neubois",658,9,667
"297",42,"Alsace",67,6,31,67228,"Neugartheim-Ittlenheim",798,15,813
"298",42,"Alsace",67,2,3,67319,"Neuhaeusel",361,1,362
"299",42,"Alsace",67,5,32,67320,"Neuve-Église",623,18,641
"300",42,"Alsace",67,3,23,67321,"Neuviller-la-Roche",380,11,391
"301",42,"Alsace",67,4,4,67322,"Neuwiller-lès-Saverne",1132,22,1154
"302",42,"Alsace",67,2,15,67324,"Niederbronn-les-Bains",4327,76,4403
"303",42,"Alsace",67,3,14,67325,"Niederhaslach",1399,19,1418
"304",42,"Alsace",67,6,43,67326,"Niederhausbergen",1361,23,1384
"305",42,"Alsace",67,7,11,67327,"Niederlauterbach",949,20,969
"306",42,"Alsace",67,4,4,67328,"Niedermodern",840,10,850
"307",42,"Alsace",67,5,16,67329,"Niedernai",1207,18,1225
"308",42,"Alsace",67,7,25,67330,"Niederroedern",923,15,938
"309",42,"Alsace",67,2,9,67331,"Niederschaeffolsheim",1315,16,1331
"310",42,"Alsace",67,4,4,67333,"Niedersoultzbach",248,2,250
"311",42,"Alsace",67,7,34,67334,"Niedersteinbach",143,4,147
"312",42,"Alsace",67,3,33,67335,"Nordheim",776,15,791
"313",42,"Alsace",67,5,7,67336,"Nordhouse",1709,18,1727
"314",42,"Alsace",67,5,1,67337,"Nothalten",460,13,473
"315",42,"Alsace",67,5,7,67338,"Obenheim",1402,19,1421
