Populations légales des communes en vigueur au 1er janvier 2015,,,,,,,,,
Mise à jour : décembre 2014,,,,,,,,,
en habitant,,,,,,,,,
"Champ : Département du Bas-Rhin, limites territoriales en vigueur au 1er janvier 2014",,,,,,,,,
Date de référence statistique : 1er janvier 2012,,,,,,,,,
Source :,"Insee, Recensement de la population 2012",,,,,,,,
,,,,,,,,,
Code région,Nom de la région,Code département,Code arrondissement,Code canton,Code commune,Nom de la commune,Population municipale,Population comptée à part,Population totale
42,Alsace,67,6,31,236,Kienheim,582,15,597
42,Alsace,67,6,5,237,Kilstett,2489,36,2525
42,Alsace,67,2,15,238,Kindwiller,601,12,613
42,Alsace,67,5,24,239,Kintzheim,1580,32,1612
42,Alsace,67,3,33,240,Kirchheim,668,10,678
42,Alsace,67,4,6,241,Kirrberg,181,0,181
42,Alsace,67,4,4,242,Kirrwiller,522,17,539
42,Alsace,67,4,13,244,Kleingoeft,143,0,143
42,Alsace,67,4,13,245,Knoersheim,213,6,219
42,Alsace,67,5,2,246,Kogenheim,1117,10,1127
42,Alsace,67,6,8,247,Kolbsheim,819,6,825
42,Alsace,67,5,16,248,Krautergersheim,1723,29,1752
42,Alsace,67,6,5,249,Krautwiller,188,2,190
42,Alsace,67,6,5,250,Kriegsheim,705,20,725
42,Alsace,67,6,5,252,Kurtzenhouse,1036,7,1043
42,Alsace,67,6,31,253,Kuttolsheim,669,14,683
42,Alsace,67,7,26,254,Kutzenhausen,899,16,915
42,Alsace,67,5,32,255,Lalaye,430,5,435
42,Alsace,67,6,43,256,Lampertheim,2914,72,2986
42,Alsace,67,7,35,257,Lampertsloch,722,15,737
42,Alsace,67,4,13,258,Landersheim,199,2,201
42,Alsace,67,7,35,259,Langensoultzbach,919,20,939
42,Alsace,67,7,35,260,Laubach,312,5,317
42,Alsace,67,7,11,261,Lauterbourg,2234,42,2276
42,Alsace,67,7,34,263,Lembach,1620,34,1654
42,Alsace,67,2,3,264,Leutenheim,855,10,865
42,Alsace,67,4,17,265,Lichtenberg,559,7,566
42,Alsace,67,5,7,266,Limersheim,672,7,679
42,Alsace,67,6,42,267,Lingolsheim,16941,176,17117
42,Alsace,67,6,8,268,Lipsheim,2489,40,2529
42,Alsace,67,4,21,269,Littenheim,297,2,299
42,Alsace,67,6,10,270,Lixhausen,352,2,354
42,Alsace,67,7,26,271,Lobsann,627,21,648
42,Alsace,67,4,13,272,Lochwiller,443,5,448
42,Alsace,67,4,17,273,Lohr,494,13,507
42,Alsace,67,4,20,274,Lorentzen,210,1,211
42,Alsace,67,4,21,275,Lupstein,814,8,822
42,Alsace,67,3,14,276,Lutzelhouse,1849,32,1881
42,Alsace,67,5,12,277,Mackenheim,740,14,754
42,Alsace,67,4,6,278,Mackwiller,592,10,602
42,Alsace,67,4,21,279,Maennolsheim,242,2,244
42,Alsace,67,5,32,280,Maisonsgoutte,808,11,819
42,Alsace,67,5,12,281,Marckolsheim,4171,63,4234
42,Alsace,67,3,33,282,Marlenheim,3906,54,3960
42,Alsace,67,4,13,283,Marmoutier,2737,70,2807
42,Alsace,67,5,2,285,Matzenheim,1416,136,1552
42,Alsace,67,5,16,286,Meistratzheim,1438,13,1451
42,Alsace,67,6,10,287,Melsheim,575,10,585
42,Alsace,67,7,26,288,Memmelshoffen,326,6,332
42,Alsace,67,4,4,289,Menchhoffen,579,11,590
42,Alsace,67,7,26,290,Merkwiller-Pechelbronn,970,17,987
42,Alsace,67,2,15,291,Mertzwiller,3413,39,3452
42,Alsace,67,2,15,292,Mietesheim,654,8,662
42,Alsace,67,6,10,293,Minversheim,680,8,688
42,Alsace,67,5,1,295,Mittelbergheim,660,16,676
42,Alsace,67,6,43,296,Mittelhausbergen,1768,31,1799
42,Alsace,67,6,10,297,Mittelhausen,556,7,563
42,Alsace,67,6,5,298,Mittelschaeffolsheim,532,8,540
42,Alsace,67,3,18,299,Mollkirch,969,19,988
42,Alsace,67,3,14,300,Molsheim,9227,191,9418
42,Alsace,67,6,5,301,Mommenheim,1765,29,1794
42,Alsace,67,4,21,302,Monswiller,2118,31,2149
42,Alsace,67,7,35,303,Morsbronn-les-Bains,742,13,755
42,Alsace,67,2,9,304,Morschwiller,584,12,596
42,Alsace,67,7,25,305,Mothern,2020,20,2040
42,Alsace,67,3,14,306,Muhlbach-sur-Bruche,647,73,720
42,Alsace,67,4,4,307,Mulhausen,454,8,462
42,Alsace,67,7,25,308,Munchhausen,716,12,728
42,Alsace,67,6,43,309,Mundolsheim,4878,99,4977
42,Alsace,67,5,12,310,Mussig,1156,37,1193
42,Alsace,67,5,12,311,Muttersholtz,1961,38,1999
42,Alsace,67,6,10,312,Mutzenhouse,399,2,401
42,Alsace,67,3,14,313,Mutzig,5820,70,5890
42,Alsace,67,3,23,314,Natzwiller,586,12,598
42,Alsace,67,7,11,315,Neewiller-près-Lauterbourg,634,14,648
42,Alsace,67,5,32,317,Neubois,658,9,667
42,Alsace,67,6,31,228,Neugartheim-Ittlenheim,798,15,813
42,Alsace,67,2,3,319,Neuhaeusel,361,1,362
42,Alsace,67,5,32,320,Neuve-Église,623,18,641
42,Alsace,67,3,23,321,Neuviller-la-Roche,380,11,391
42,Alsace,67,4,4,322,Neuwiller-lès-Saverne,1132,22,1154
42,Alsace,67,2,15,324,Niederbronn-les-Bains,4327,76,4403
42,Alsace,67,3,14,325,Niederhaslach,1399,19,1418
42,Alsace,67,6,43,326,Niederhausbergen,1361,23,1384
42,Alsace,67,7,11,327,Niederlauterbach,949,20,969
42,Alsace,67,4,4,328,Niedermodern,840,10,850
42,Alsace,67,5,16,329,Niedernai,1207,18,1225
42,Alsace,67,7,25,330,Niederroedern,923,15,938
42,Alsace,67,2,9,331,Niederschaeffolsheim,1315,16,1331
42,Alsace,67,4,4,333,Niedersoultzbach,248,2,250
42,Alsace,67,7,34,334,Niedersteinbach,143,4,147
42,Alsace,67,3,33,335,Nordheim,776,15,791
42,Alsace,67,5,7,336,Nordhouse,1709,18,1727
42,Alsace,67,5,1,337,Nothalten,460,13,473
42,Alsace,67,5,7,338,Obenheim,1402,19,1421
42,Alsace,67,2,15,340,Oberbronn,1507,20,1527
42,Alsace,67,7,35,341,Oberdorf-Spachbach,363,7,370
42,Alsace,67,3,14,342,Oberhaslach,1773,32,1805
42,Alsace,67,6,43,343,Oberhausbergen,4818,62,4880
42,Alsace,67,7,34,344,Oberhoffen-lès-Wissembourg,323,14,337
42,Alsace,67,2,3,345,Oberhoffen-sur-Moder,3390,42,3432
42,Alsace,67,7,25,346,Oberlauterbach,536,19,555
42,Alsace,67,4,4,347,Obermodern-Zutzendorf,1703,30,1733
42,Alsace,67,5,16,348,Obernai,10822,607,11429
42,Alsace,67,7,26,349,Oberroedern,543,11,554
42,Alsace,67,6,43,350,Oberschaeffolsheim,2200,35,2235
42,Alsace,67,4,4,352,Obersoultzbach,416,8,424
42,Alsace,67,7,34,353,Obersteinbach,237,6,243
42,Alsace,67,3,33,354,Odratzheim,439,7,446
42,Alsace,67,4,20,355,Oermingen,1227,17,1244
42,Alsace,67,2,3,356,Offendorf,2222,21,2243
42,Alsace,67,2,15,358,Offwiller,818,12,830
42,Alsace,67,2,9,359,Ohlungen,1319,22,1341
42,Alsace,67,5,12,360,Ohnenheim,933,21,954
42,Alsace,67,6,5,361,Olwisheim,501,6,507
42,Alsace,67,5,24,362,Orschwiller,634,11,645
42,Alsace,67,6,31,363,Osthoffen,825,15,840
42,Alsace,67,5,7,364,Osthouse,926,14,940
42,Alsace,67,6,42,365,Ostwald,11682,112,11794
42,Alsace,67,4,21,366,Ottersthal,692,19,711
42,Alsace,67,4,13,367,Otterswiller,1363,33,1396
42,Alsace,67,3,18,368,Ottrott,1589,51,1640
42,Alsace,67,4,6,369,Ottwiller,250,3,253
42,Alsace,67,4,17,370,Petersbach,666,11,677
42,Alsace,67,4,17,371,La Petite-Pierre,629,13,642
42,Alsace,67,4,4,372,Pfaffenhoffen,2829,44,2873
42,Alsace,67,4,17,373,Pfalzweyer,321,6,327
42,Alsace,67,6,31,374,Pfettisheim,793,13,806
42,Alsace,67,6,31,375,Pfulgriesheim,1222,26,1248
42,Alsace,67,3,19,377,Plaine,978,21,999
42,Alsace,67,6,8,378,Plobsheim,4110,54,4164
42,Alsace,67,7,35,379,Preuschdorf,954,8,962
42,Alsace,67,4,21,380,Printzheim,209,8,217
42,Alsace,67,4,17,381,Puberg,341,5,346
42,Alsace,67,6,31,382,Quatzenheim,820,11,831
42,Alsace,67,4,13,383,Rangen,197,2,199
42,Alsace,67,3,19,384,Ranrupt,348,7,355
42,Alsace,67,4,20,385,Ratzwiller,253,3,256
42,Alsace,67,4,6,386,Rauwiller,216,0,216
42,Alsace,67,5,1,387,Reichsfeld,302,3,305
42,Alsace,67,2,15,388,Reichshoffen,5516,87,5603
42,Alsace,67,6,43,389,Reichstett,4404,53,4457
42,Alsace,67,4,13,391,Reinhardsmunster,469,16,485
42,Alsace,67,4,17,392,Reipertswiller,912,6,918
42,Alsace,67,7,26,394,Retschwiller,273,10,283
42,Alsace,67,4,13,395,Reutenbourg,400,7,407
42,Alsace,67,4,6,396,Rexingen,204,6,210
42,Alsace,67,5,2,397,Rhinau,2689,39,2728
42,Alsace,67,5,12,398,Richtolsheim,348,3,351
42,Alsace,67,7,34,400,Riedseltz,1104,23,1127
42,Alsace,67,4,20,401,Rimsdorf,314,4,318
42,Alsace,67,6,10,402,Ringeldorf,104,0,104
42,Alsace,67,6,10,403,Ringendorf,441,7,448
42,Alsace,67,7,26,404,Rittershoffen,894,10,904
42,Alsace,67,2,3,405,Roeschwoog,2248,42,2290
42,Alsace,67,6,31,406,Rohr,268,7,275
42,Alsace,67,2,3,407,Rohrwiller,1686,14,1700
42,Alsace,67,3,33,408,Romanswiller,1327,16,1343
42,Alsace,67,2,3,409,Roppenheim,944,17,961
42,Alsace,67,3,18,410,Rosenwiller,680,10,690
42,Alsace,67,3,18,411,Rosheim,4891,101,4992
42,Alsace,67,5,2,412,Rossfeld,892,20,912
42,Alsace,67,4,17,413,Rosteig,590,3,593
42,Alsace,67,3,23,414,Rothau,1585,19,1604
42,Alsace,67,2,15,415,Rothbach,462,13,475
42,Alsace,67,7,34,416,Rott,472,7,479
42,Alsace,67,6,5,417,Rottelsheim,325,7,332
42,Alsace,67,2,3,418,Rountzenheim,1067,20,1087
42,Alsace,67,3,23,420,Russ,1264,31,1295
42,Alsace,67,3,19,421,Saales,820,12,832
42,Alsace,67,5,12,422,Saasenheim,603,14,617
42,Alsace,67,6,10,423,Saessolsheim,530,9,539
42,Alsace,67,3,19,424,Saint-Blaise-la-Roche,238,1,239
42,Alsace,67,4,21,425,Saint-Jean-Saverne,592,15,607
42,Alsace,67,5,32,426,Saint-Martin,354,3,357
42,Alsace,67,5,32,427,Saint-Maurice,387,20,407
42,Alsace,67,3,18,428,Saint-Nabor,471,23,494
42,Alsace,67,5,1,429,Saint-Pierre,567,10,577
42,Alsace,67,5,32,430,Saint-Pierre-Bois,751,15,766
42,Alsace,67,4,13,431,Salenthal,231,3,234
42,Alsace,67,7,11,432,Salmbach,561,16,577
42,Alsace,67,5,2,433,Sand,1140,19,1159
42,Alsace,67,4,20,434,Sarre-Union,2961,66,3027
42,Alsace,67,4,20,435,Sarrewerden,920,22,942
42,Alsace,67,3,19,436,Saulxures,523,5,528
42,Alsace,67,4,21,437,Saverne,11730,274,12004
42,Alsace,67,5,7,438,Schaeffersheim,833,16,849
42,Alsace,67,7,25,440,Schaffhouse-près-Seltz,575,19,594
42,Alsace,67,6,10,439,Schaffhouse-sur-Zorn,398,2,400
42,Alsace,67,4,4,441,Schalkendorf,317,4,321
42,Alsace,67,3,33,442,Scharrachbergheim-Irmstett,1154,52,1206
42,Alsace,67,7,11,443,Scheibenhard,801,18,819
42,Alsace,67,6,10,444,Scherlenheim,126,1,127
42,Alsace,67,5,24,445,Scherwiller,3136,63,3199
42,Alsace,67,4,4,446,Schillersdorf,440,9,449
42,Alsace,67,6,22,447,Schiltigheim,31691,295,31986
42,Alsace,67,3,23,448,Schirmeck,2372,66,2438
42,Alsace,67,2,3,449,Schirrhein,2205,29,2234
42,Alsace,67,2,3,450,Schirrhoffen,703,6,709
42,Alsace,67,7,34,451,Schleithal,1461,33,1494
42,Alsace,67,6,31,452,Schnersheim,1411,27,1438
42,Alsace,67,5,12,453,Schoenau,591,11,602
42,Alsace,67,4,17,454,Schoenbourg,440,9,449
42,Alsace,67,7,26,455,Schoenenbourg,674,6,680
42,Alsace,67,4,20,456,Schopperten,414,9,423
42,Alsace,67,2,9,458,Schweighouse-sur-Moder,4911,72,4983
42,Alsace,67,4,13,459,Schwenheim,702,13,715
42,Alsace,67,6,10,460,Schwindratzheim,1574,14,1588
42,Alsace,67,5,12,461,Schwobsheim,342,2,344
42,Alsace,67,7,34,351,Seebach,1699,51,1750
42,Alsace,67,5,24,462,Sélestat,19397,397,19794
42,Alsace,67,7,25,463,Seltz,3281,37,3318
42,Alsace,67,5,2,464,Sermersheim,838,8,846
42,Alsace,67,2,3,465,Sessenheim,2190,20,2210
42,Alsace,67,7,25,466,Siegen,512,13,525
